horizon,alg_index,hardware_spec,embedding_index,acc
5,0,fake_mumbai,2,0.9946188212065283
5,0,fake_mumbai,3,0.9716974640586103
5,0,fake_kolkata,0,0.9997944993449263
5,0,fake_kolkata,1,0.9901932617847754
5,0,fake_kolkata,2,0.9997324446296042
5,0,fake_kolkata,3,0.9987868159216958
5,0,fake_auckland,0,0.9497648581303303
5,0,fake_auckland,1,0.9997686709615452
5,0,fake_geneva,0,0.9455070674231896
5,0,fake_geneva,1,0.9990863301244438
5,0,fake_montreal,0,0.999534158041537
5,0,fake_montreal,1,0.9995487819259304
5,0,fake_montreal,2,0.9742762737206753
5,0,fake_paris,0,0.9991852044694947
5,0,fake_paris,1,0.9191442970217617
5,0,fake_paris,2,0.9874795208267196
5,0,fake_sydney,0,0.9503187407227045
5,0,fake_sydney,1,0.9994195336268317
5,0,fake_toronto,0,0.9995946883211386
